enumeration,size,extent,label_count,min,max,mean,stdev,ci95_min,ci95_max
250,5,10.912118126193468,3,5554.002281,5739.174593,5626.0179588,78.58291128015637,5528.444386995692,5723.591530604308
249,4,14.980441315261709,4,7886.969885,8709.471782,8210.8928504,336.7653587914342,7792.743428573511,8629.042272226488
248,4,14.913481451358031,4,6118.746522,6292.365133,6185.090862999999,69.84553839266934,6098.366172548264,6271.815553451735
247,4,14.861490672203782,3,8688.177796,9243.107334,9053.3813144,229.34068086582593,8768.617247663758,9338.14538113624
246,4,14.856746447321497,4,8640.50484,9649.485569,8933.968641,412.3518659758772,8421.96617445868,9445.97110754132
245,4,14.839034571022463,3,5566.012259,5744.622495,5649.221854,84.7791486148165,5543.954637373416,5754.489070626585
244,4,14.832594816821498,3,5204.364813,5464.725012,5333.960210200001,101.090132481728,5208.440232131898,5459.480188268104
243,4,14.82567104720727,3,5709.940047,6023.500423,5817.6782774,123.2092292783766,5664.693813168488,5970.662741631512
242,4,14.804840897490253,4,7706.603696,8450.164932,7929.853185800001,313.393546789715,7540.723701506959,8318.982670093043
241,4,14.729112566614461,3,5569.259928,5826.790915,5635.1719266,107.87548650515582,5501.2268187264835,5769.1170344735165
240,4,14.681757524220322,4,5344.704732,5603.294961,5442.8406544,98.35778825203316,5320.713329792389,5564.967979007611
239,4,14.616879181275324,4,5724.374298,6318.756295,5885.042651199999,244.33787659836636,5581.657106449849,6188.4281959501495
238,4,14.546125016649622,3,6319.915014,6634.186001,6483.765761,133.778931163819,6317.657278466435,6649.874243533564
237,4,14.455067104652262,4,5684.101775,5913.408162,5770.7051344,89.5261360253491,5659.5437544062115,5881.866514393789
236,4,14.431603930263602,3,6315.978389,6645.54812,6450.1435638,123.53462536542143,6296.755066962074,6603.532060637926
235,4,14.357175697190588,3,5238.152818,5762.813147,5433.6214668,249.07604565606067,5124.352708113888,5742.890225486112
234,4,14.305682157800094,4,5390.671746,5597.762635,5482.4069848,75.62179104866108,5388.510129381255,5576.303840218745
233,4,14.26698026913895,3,5335.533032,5566.129027,5412.398916599999,89.42001261357197,5301.369306225972,5523.428526974027
232,4,14.200194435288553,3,7432.770012,7624.795741,7544.3713468000005,72.61513873636017,7454.207743312314,7634.534950287687
231,4,14.128100580049676,3,5582.358012,5774.690944,5633.4403228,79.50913651868005,5534.716690462864,5732.163955137136
230,4,14.092409481703253,4,6734.060686,7315.841868,6905.705002799999,238.22369445398894,6609.911217896493,7201.4987877035055
229,4,13.957867781290952,4,6614.597788,6963.647081,6809.748408199999,125.4913309053957,6653.930340538158,6965.56647586184
228,4,13.90717530629423,4,5374.537333,5729.436067,5539.2566446,128.83329907680658,5379.288975376843,5699.224313823157
227,4,13.879898450637164,3,5585.73237,5845.803096,5649.908667599999,110.70894102324337,5512.445361261052,5787.371973938945
226,4,13.715326499941579,3,7081.565376,7517.046706,7274.1887534,161.75827038832546,7073.339332660079,7475.038174139921
225,4,13.677096256150278,3,5191.493602,5378.554736,5239.6879426,78.82095906657756,5141.818795429459,5337.55708977054
224,4,13.63675100601313,2,5418.499968,5689.898041,5517.557570800001,103.13211612777282,5389.502135153846,5645.613006446155
223,4,13.629796880364724,2,5476.139664,5742.27049,5589.7357376,106.13555038387143,5457.951045767317,5721.520429432683
222,4,13.618539165417117,3,5765.748553,6039.257188,5885.445344,98.72842953714496,5762.857807452448,6008.032880547552
221,4,13.5530875449102,4,5061.185282,5240.626723,5150.2970743999995,68.54322534062828,5065.189419179271,5235.404729620728
220,4,13.489525454959495,4,5564.469961,5792.287747,5649.6595787999995,98.60271768869438,5527.228134128806,5772.091023471193
219,4,13.467780292238215,2,4847.798467,5065.363992,4930.093136400001,105.48134310949843,4799.120750187218,5061.065522612784
218,4,13.376982694165386,4,5123.603155,5265.730362,5189.5001054,66.49919025130812,5106.930454960581,5272.0697558394195
217,4,13.325348775923274,4,4984.942661,5132.88043,5042.3281816,59.80423834872564,4968.071411907186,5116.5849512928135
216,4,13.317099909514834,4,5362.851896,5632.413072,5466.3806388,99.76624770333625,5342.50448079889,5590.256796801111
215,4,13.264469910252728,4,5020.40273,5158.104454,5076.6670498,58.8993665019913,5003.533826902192,5149.800272697808
214,4,13.259142468500741,3,5050.513367,5217.053532,5137.001144,65.39044737000529,5055.80817967947,5218.194108320529
